#NAME,16S-ALA0610,16S-ALA2330,16S-Positive2-Plate2-Core-JA-8271,16S-Positive1-Plate1-Core-JA-8271,16S-DTC4,16S-MLH0150,16S-DSC1,16S-DSD1,16S-DSP1,16S-DTC5,16S-DTC6,16S-DTD4,16S-DTP4,16S-DTP9,16S-PMF0822,16S-U1210,16S-Z0800,16S-Z1410,16S-Positive1-Plate2-Core-JA-8271,16S-ALA0822,16S-ALA1810,16S-ALA1922,16S-DSC2,16S-DSD2,16S-DTC1,16S-DTC2,16S-DTC3,16S-DTC7,16S-DTC8,16S-DTC9,16S-DTD1,16S-DTD2,16S-DTD3,16S-DTD5,16S-DTD6,16S-DTD7,16S-DTD8,16S-DTD9,16S-DTP1,16S-DTP2,16S-DTP3,16S-DTP5,16S-DTP6,16S-DTP7,16S-DTP8,16S-EF0600,16S-EF0900,16S-EF1145,16S-EF1245,16S-EF1355,16S-EF1545,16S-EF1850,16S-EF1955,16S-EF2055,16S-EF2400,16S-M330532,16S-M331732,16S-M331948,16S-M332032,16S-M332150,16S-MLH0545,16S-MLH1030,16S-MLH1450,16S-MLH1554,16S-MLH1656,16S-MLH1802,16S-MLH2200,16S-PMF0152,16S-PMF0604,16S-PMF0705,16S-PMF1120,16S-PMF1221,16S-PMF1502,16S-PMF1945,16S-PMF2130,16S-U0155,16S-U0455,16S-U0650,16S-U0930,16S-U1105,16S-U1410,16S-U1610,16S-U1946,16S-U2055,16S-VS0145,16S-VS0545,16S-VS1215,16S-VS1645,16S-VS1945,16S-Z0500,16S-Z1000,16S-Z1010,16S-Z1210,16S-Z1520,16S-Z1640,16S-Z1720,16S-Z1830,16S-Z2030,16S-Z2230,16S-M1555-3-ul,16S-VS0730,16S-Positive2-Plate1-Core-JA-8271,16S-M2254,16S-MLH1315,16S-Negative2-Plate1-Core-JA-8271,16S-Negative2-Plate2-Core-JA-8271,16S-DSD3,16S-DSP2,16S-DSP3,16S-Negative1-Plate1-Core-JA-8271,16S-DSC3,16S-Negative1-Plate2-Core-JA-8271
541135,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643311,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213370,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816470,0,0,0,0,2,0,3,4,1,8,7,71,5,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28841,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410908,0,0,0,0,359,22,651,296,67,487,1822,238,483,710,38,153,130,256,0,4,2,21,750,476,106,40,1,161,9,840,16,49,1,611,172,573,1273,1151,46,322,383,383,369,170,16,67,46,86,117,108,57,55,271,46,30,8,32,16,39,121,6,3,2,1,1,3,5,5,31,4,10,78,24,1,14,81,47,77,13,41,126,11,17,23,8,5,4,4,15,49,75,172,268,138,47,187,210,133,72,0,0,0,0,0,0,0,0,0,0,0,0,0
131115,0,0,0,0,6,0,2,0,0,12,15,10,10,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,1,4,1,1,0,2,5,4,0,3,1,0,13,1,3,0,1,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,4,0,0,3,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,7,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1008172,0,0,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950828,0,0,0,0,17,1,0,66,0,12,0,11,23,0,2,7,2,6,0,0,0,0,0,2,0,2,0,0,0,4,1,2,0,6,1,6,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4307790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4345221,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833679,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196271,0,0,0,0,0,0,0,0,0,10,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4467993,0,0,0,0,64,0,10,5,3,13,26,22,101,23,0,4,5,2,0,0,0,0,24,21,0,6,0,0,1,15,1,5,0,10,1,6,0,49,1,31,17,4,10,1,1,0,0,0,0,1,1,0,9,2,0,0,3,0,6,16,0,0,0,0,0,0,0,0,0,0,3,15,2,0,1,5,0,2,0,4,10,0,0,0,0,0,0,0,0,2,1,1,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3903651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1119668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838207,0,1,0,0,284,28,969,183,126,241,883,271,502,534,3,0,4,0,0,0,4,36,1470,1670,220,72,2,141,8,600,214,17,1,151,411,256,709,777,141,164,362,192,219,148,17,1,14,21,21,1,20,5,14,0,0,0,0,1,1,2,15,1,5,1,2,0,12,3,0,0,0,0,1,1,1,9,0,0,1,8,0,1,1,1,55,10,5,4,48,0,0,0,5,0,3,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
521221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
